MUNIC_RES,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
150790,21395.0,22244.0,22459.0,22995.0,23235.0,23461.0,23861.0,24076.0,24286.0,24488.0,24682.0,25181.0,25374.0
150795,64281.0,69581.0,72720.0,79299.0,82434.0,85468.0,90552.0,93906.0,97161.0,100300.0,103321.0,103664.0,106339.0
150796,9861.0,10372.0,10580.0,10254.0,10416.0,10565.0,10822.0,10973.0,11120.0,11262.0,11399.0,11591.0,11720.0
150797,15316.0,15885.0,16004.0,16952.0,17130.0,17305.0,17614.0,17783.0,17946.0,18105.0,18257.0,18619.0,18769.0
150800,47081.0,48522.0,48607.0,56514.0,57228.0,57914.0,59112.0,59795.0,60456.0,61095.0,61709.0,62854.0,63447.0
150803,26129.0,27374.0,27825.0,27466.0,27817.0,28167.0,28775.0,29125.0,29465.0,29793.0,30108.0,30656.0,30959.0
150805,16097.0,16860.0,17134.0,16885.0,17093.0,17303.0,17670.0,17880.0,18084.0,18280.0,18469.0,18807.0,18989.0
150808,26513.0,27491.0,27691.0,33651.0,34334.0,34956.0,36021.0,36674.0,37308.0,37920.0,38508.0,39059.0,39602.0
150810,89264.0,94015.0,96010.0,97109.0,98919.0,100651.0,103619.0,105431.0,107189.0,108885.0,110516.0,112148.0,113659.0
150812,31881.0,34485.0,36020.0,43345.0,45190.0,46979.0,49972.0,51956.0,53881.0,55739.0,57525.0,57632.0,59210.0
150815,59881.0,34875.0,59881.0,44720.0,44758.0,44727.0,44731.0,44607.0,44486.0,44370.0,44258.0,45517.0,45476.0
150820,43847.0,45680.0,46205.0,47902.0,48482.0,49054.0,50055.0,50622.0,51173.0,51705.0,52216.0,53191.0,53686.0
150830,53217.0,55144.0,55512.0,56681.0,57148.0,57566.0,58323.0,58694.0,59054.0,59401.0,59735.0,61049.0,61403.0
150835,9693.0,9809.0,9664.0,13480.0,13607.0,13777.0,14072.0,14242.0,14407.0,14566.0,14719.0,14987.0,15134.0
150840,38457.0,40067.0,40529.0,40573.0,40984.0,41382.0,42085.0,42465.0,42833.0,43188.0,43530.0,44410.0,44751.0
